x,y,angle
5.0,25.0,0.0
6.0,24.0,-45.0
7.0,23.0,-45.0
7.0,22.0,-90.0
8.0,21.0,-45.0
8.0,20.0,-90.0
8.0,19.0,-90.0
8.0,18.0,-90.0
8.0,17.0,-90.0
8.0,16.0,-90.0
8.0,15.0,-90.0
8.0,14.0,-90.0
8.0,13.0,-90.0
8.0,12.0,-90.0
8.0,11.0,-90.0
9.0,10.0,-45.0
9.0,9.0,-90.0
10.0,9.0,0.0
11.0,9.0,0.0
12.0,10.0,45.0
13.0,11.0,45.0
14.0,12.0,45.0
15.0,13.0,45.0
16.0,14.0,45.0
17.0,15.0,45.0
18.0,16.0,45.0
18.0,17.0,90.0
18.0,18.0,90.0
19.0,19.0,45.0
19.0,20.0,90.0
20.0,20.0,0.0
21.0,20.0,0.0
22.0,19.0,-45.0
23.0,18.0,-45.0
24.0,17.0,-45.0
25.0,16.0,-45.0
26.0,15.0,-45.0
26.0,14.0,-90.0
27.0,13.0,-45.0
28.0,12.0,-45.0
29.0,11.0,-45.0
29.0,10.0,-90.0
29.0,9.0,-90.0
30.0,9.0,0.0
31.0,9.0,0.0
32.0,10.0,45.0
33.0,11.0,45.0
34.0,12.0,45.0
35.0,13.0,45.0
36.0,14.0,45.0
37.0,15.0,45.0
38.0,16.0,45.0
39.0,17.0,45.0
39.0,18.0,90.0
39.0,19.0,90.0
39.0,20.0,90.0
40.0,20.0,0.0
41.0,20.0,0.0
41.0,19.0,-90.0
41.0,18.0,-90.0
41.0,17.0,-90.0
42.0,16.0,-45.0
43.0,15.0,-45.0
43.0,14.0,-90.0
43.0,13.0,-90.0
43.0,12.0,-90.0
43.0,11.0,-90.0
43.0,10.0,-90.0
43.0,9.0,-90.0
44.0,8.0,-45.0
44.0,7.0,-90.0
45.0,6.0,-45.0
45.0,5.0,-90.0
